year,month,period,district_cn,district_en,headcount,hour,zone
2026,7,09:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,470,9,Taipa & Cotai
2026,7,09:00,東望洋區(松山區),Ferreira do Amaral (Guia),489,9,Macau Peninsula
2026,7,09:00,大學及北安灣區,Universidade & Baía de Pac On,304,9,Taipa & Cotai
2026,7,10:00,新橋區,Barca,1315,10,Macau Peninsula
2026,7,10:00,中區,Baixa de Macau,6156,10,Macau Peninsula
2026,7,10:00,氹仔中心區,Baixa da Taipa,4433,10,Taipa & Cotai
2026,7,10:00,台山區,Tamagnini Barbosa,3136,10,Macau Peninsula
2026,7,10:00,黑沙環新填海區,Novos Aterros da Areia Preta,1960,10,Macau Peninsula
2026,7,10:00,望廈及水塘區,Móng Há & Reservatório,1395,10,Macau Peninsula
2026,7,10:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,10362,10,Macau Peninsula
2026,7,10:00,路氹填海區,COTAI Reclamation Area,61947,10,Taipa & Cotai
2026,7,10:00,黑沙環及祐漢區,Areia Preta & Iao Hon,6586,10,Macau Peninsula
2026,7,10:00,下環區,Barra/Manduco,2619,10,Macau Peninsula
2026,7,10:00,荷蘭園區,Conselheiro Ferreira de Almeida,1159,10,Macau Peninsula
2026,7,10:00,林茂塘區,Doca do Lamau,606,10,Macau Peninsula
2026,7,10:00,沙梨頭及大三巴區,Patane & São Paulo,3329,10,Macau Peninsula
2026,7,10:00,新口岸區,Zona de Aterros do Porto Exterior,14371,10,Macau Peninsula
2026,7,10:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,749,10,Macau Peninsula
2026,7,10:00,筷子基區,Fai Chi Kei,600,10,Macau Peninsula
2026,7,10:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4458,10,Taipa & Cotai
2026,7,10:00,路環區,Coloane,2098,10,Coloane
2026,7,10:00,北安及大潭山區,Pac On & Taipa Grande,4402,10,Taipa & Cotai
2026,7,10:00,青洲區,Ilha Verde,483,10,Macau Peninsula
2026,7,10:00,南西灣及主教山區,Praia Grande & Penha,1249,10,Macau Peninsula
2026,7,10:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,521,10,Taipa & Cotai
2026,7,10:00,東望洋區(松山區),Ferreira do Amaral (Guia),534,10,Macau Peninsula
2026,7,10:00,大學及北安灣區,Universidade & Baía de Pac On,399,10,Taipa & Cotai
2026,7,11:00,新橋區,Barca,1547,11,Macau Peninsula
2026,7,11:00,中區,Baixa de Macau,7765,11,Macau Peninsula
2026,7,11:00,氹仔中心區,Baixa da Taipa,4278,11,Taipa & Cotai
2026,7,11:00,台山區,Tamagnini Barbosa,4104,11,Macau Peninsula
2026,7,11:00,黑沙環新填海區,Novos Aterros da Areia Preta,2526,11,Macau Peninsula
2026,7,11:00,望廈及水塘區,Móng Há & Reservatório,1807,11,Macau Peninsula
2026,7,11:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,11548,11,Macau Peninsula
2026,7,11:00,路氹填海區,COTAI Reclamation Area,64972,11,Taipa & Cotai
2026,7,11:00,黑沙環及祐漢區,Areia Preta & Iao Hon,9603,11,Macau Peninsula
2026,7,11:00,下環區,Barra/Manduco,2686,11,Macau Peninsula
2026,7,11:00,荷蘭園區,Conselheiro Ferreira de Almeida,1470,11,Macau Peninsula
2026,7,11:00,林茂塘區,Doca do Lamau,670,11,Macau Peninsula
2026,7,11:00,沙梨頭及大三巴區,Patane & São Paulo,4210,11,Macau Peninsula
2026,7,11:00,新口岸區,Zona de Aterros do Porto Exterior,14318,11,Macau Peninsula
2026,7,11:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,784,11,Macau Peninsula
2026,7,11:00,筷子基區,Fai Chi Kei,646,11,Macau Peninsula
2026,7,11:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,4876,11,Taipa & Cotai
2026,7,11:00,路環區,Coloane,2334,11,Coloane
2026,7,11:00,北安及大潭山區,Pac On & Taipa Grande,6081,11,Taipa & Cotai
2026,7,11:00,青洲區,Ilha Verde,509,11,Macau Peninsula
2026,7,11:00,南西灣及主教山區,Praia Grande & Penha,1187,11,Macau Peninsula
2026,7,11:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,650,11,Taipa & Cotai
2026,7,11:00,東望洋區(松山區),Ferreira do Amaral (Guia),603,11,Macau Peninsula
2026,7,11:00,大學及北安灣區,Universidade & Baía de Pac On,494,11,Taipa & Cotai
2026,7,12:00,新橋區,Barca,1999,12,Macau Peninsula
2026,7,12:00,中區,Baixa de Macau,10753,12,Macau Peninsula
2026,7,12:00,氹仔中心區,Baixa da Taipa,4241,12,Taipa & Cotai
2026,7,12:00,台山區,Tamagnini Barbosa,4511,12,Macau Peninsula
2026,7,12:00,黑沙環新填海區,Novos Aterros da Areia Preta,2551,12,Macau Peninsula
2026,7,12:00,望廈及水塘區,Móng Há & Reservatório,1925,12,Macau Peninsula
2026,7,12:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,13695,12,Macau Peninsula
2026,7,12:00,路氹填海區,COTAI Reclamation Area,69515,12,Taipa & Cotai
2026,7,12:00,黑沙環及祐漢區,Areia Preta & Iao Hon,9296,12,Macau Peninsula
2026,7,12:00,下環區,Barra/Manduco,2874,12,Macau Peninsula
2026,7,12:00,荷蘭園區,Conselheiro Ferreira de Almeida,1767,12,Macau Peninsula
2026,7,12:00,林茂塘區,Doca do Lamau,757,12,Macau Peninsula
2026,7,12:00,沙梨頭及大三巴區,Patane & São Paulo,5816,12,Macau Peninsula
2026,7,12:00,新口岸區,Zona de Aterros do Porto Exterior,13959,12,Macau Peninsula
2026,7,12:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,880,12,Macau Peninsula
2026,7,12:00,筷子基區,Fai Chi Kei,733,12,Macau Peninsula
2026,7,12:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,5755,12,Taipa & Cotai
2026,7,12:00,路環區,Coloane,2669,12,Coloane
2026,7,12:00,北安及大潭山區,Pac On & Taipa Grande,7504,12,Taipa & Cotai
2026,7,12:00,青洲區,Ilha Verde,546,12,Macau Peninsula
2026,7,12:00,南西灣及主教山區,Praia Grande & Penha,1165,12,Macau Peninsula
2026,7,12:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,830,12,Taipa & Cotai
2026,7,12:00,東望洋區(松山區),Ferreira do Amaral (Guia),631,12,Macau Peninsula
2026,7,12:00,大學及北安灣區,Universidade & Baía de Pac On,515,12,Taipa & Cotai
2026,7,13:00,新橋區,Barca,2001,13,Macau Peninsula
2026,7,13:00,中區,Baixa de Macau,13994,13,Macau Peninsula
2026,7,13:00,氹仔中心區,Baixa da Taipa,4512,13,Taipa & Cotai
