year,month,hour,period,district_cn,district_en,zone,headcount,month_total_arrivals,daily_bus_departures,departures_share_pct,supply_demand_ratio
2026,7,6,06:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1350,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,833,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,9489,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,60108,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,1666,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,下環區,Barra/Manduco,Macau Peninsula,2532,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,839,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,林茂塘區,Doca do Lamau,Macau Peninsula,514,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2770,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,13800,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,679,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,筷子基區,Fai Chi Kei,Macau Peninsula,464,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,3857,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,路環區,Coloane,Coloane,1617,3542218.0,11693.0,4.99,2.988
2026,7,6,06:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2782,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,青洲區,Ilha Verde,Macau Peninsula,301,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1234,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,379,3542218.0,66570.0,28.42,0.507
2026,7,6,06:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,413,3542218.0,155940.0,66.58,1.577
2026,7,6,06:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,285,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,新橋區,Barca,Macau Peninsula,1169,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,中區,Baixa de Macau,Macau Peninsula,5102,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4310,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,台山區,Tamagnini Barbosa,Macau Peninsula,1678,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1379,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,846,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,9366,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,59949,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,2072,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,下環區,Barra/Manduco,Macau Peninsula,2565,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,848,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,林茂塘區,Doca do Lamau,Macau Peninsula,527,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2720,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,13989,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,685,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,筷子基區,Fai Chi Kei,Macau Peninsula,474,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,3895,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,路環區,Coloane,Coloane,1664,3542218.0,11693.0,4.99,2.988
2026,7,7,07:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2819,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,青洲區,Ilha Verde,Macau Peninsula,312,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1228,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,403,3542218.0,66570.0,28.42,0.507
2026,7,7,07:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,407,3542218.0,155940.0,66.58,1.577
2026,7,7,07:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,285,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,新橋區,Barca,Macau Peninsula,1190,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,中區,Baixa de Macau,Macau Peninsula,5162,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4354,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,台山區,Tamagnini Barbosa,Macau Peninsula,1909,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1475,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,899,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,9437,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,60010,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,2578,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,下環區,Barra/Manduco,Macau Peninsula,2609,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,882,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,林茂塘區,Doca do Lamau,Macau Peninsula,546,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2762,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,14161,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,691,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,筷子基區,Fai Chi Kei,Macau Peninsula,500,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,3998,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,路環區,Coloane,Coloane,1740,3542218.0,11693.0,4.99,2.988
2026,7,8,08:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2878,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,青洲區,Ilha Verde,Macau Peninsula,358,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1242,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,437,3542218.0,66570.0,28.42,0.507
2026,7,8,08:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,438,3542218.0,155940.0,66.58,1.577
2026,7,8,08:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,292,3542218.0,66570.0,28.42,0.507
2026,7,9,09:00,新橋區,Barca,Macau Peninsula,1205,3542218.0,155940.0,66.58,1.577
