stop_code,zone,weekdays,weekends,holidays,code,nameCht,n_routes,lat,lng
M117_1,Macau Peninsula,362.1337434495329,317.4973798131693,281.5205564416091,M117_1,羅理基/馬六甲街,6,22.19623,113.552731
M118_1,Macau Peninsula,331.836963036963,325.54201354201354,330.002072002072,M118_1,高美士/馬六甲街停車場,3,22.195713,113.553765
M118_2,Macau Peninsula,655.7445887445888,637.1329004329004,587.015318015318,M118_2,高美士/馬六甲街停車場,7,22.195739,113.553782
M119_1,Macau Peninsula,394.0807131465026,394.0807131465026,345.27431289640595,M119_1,永樂戲院,4,22.201657,113.543029
M11_1,Macau Peninsula,591.8428338686404,587.4597169855234,537.9813620071684,M11_1,拱形馬路/蓮峰廟,7,22.210161,113.548326
M120_2,Macau Peninsula,225.1010101010101,225.1010101010101,188.28282828282826,M120_2,筷子基街/廣大中學,1,22.205932,113.539044
M121_1,Macau Peninsula,674.0155435938331,665.051775477891,630.5352797073728,M121_1,連勝/鏡湖醫院,7,22.199711,113.542395
M123_1,Macau Peninsula,130.5194805194805,130.5194805194805,143.48571428571427,M123_1,東南小學,1,22.198465,113.543888
M124_1,Macau Peninsula,261.038961038961,261.038961038961,286.97142857142853,M124_1,白鴿巢總站,1,22.199301,113.539424
M125_1,Macau Peninsula,1235.3899825380363,1235.3899825380363,1180.1964905149782,M125_1,栢港停車場,12,22.197712,113.536755
M126_1,Macau Peninsula,192.696449792038,192.696449792038,169.26589423648247,M126_1,林茂/信譽灣畔,2,22.204514,113.539827
M127_1,Macau Peninsula,1235.3899825380363,1235.3899825380363,1180.1964905149782,M127_1,海邊新街,12,22.200661,113.537479
M128_1,Macau Peninsula,417.2045111750994,416.1944101649984,372.0335710041592,M128_1,林茂/澳門遊艇會,4,22.204518,113.539461
M129_1,Macau Peninsula,983.4711214283857,982.4610204182846,945.3799420763368,M129_1,沙梨頭街市,9,22.201256,113.537564
M12_1,Macau Peninsula,1111.709738206133,1077.8720758684706,1028.4101489065436,M12_1,北區警司處,12,22.210377,113.546205
M130_1,Macau Peninsula,96.76767676767678,95.75757575757575,76.76767676767678,M130_1,林茂/運順新邨,1,22.20521,113.542429
M131_1,Macau Peninsula,61.6875,61.6875,53.65909090909091,M131_1,十月初五街,1,22.197951,113.537789
M132_1,Macau Peninsula,710.5520675142517,703.7086331708173,659.7802770987648,M132_1,十六浦,8,22.197371,113.536586
M132_2,Macau Peninsula,901.1430016038712,881.2125668212625,846.4901394901394,M132_2,十六浦,8,22.197432,113.536602
M133_1,Macau Peninsula,61.6875,61.6875,53.65909090909091,M133_1,草堆街,1,22.196285,113.539159
M134_1,Macau Peninsula,1197.789247746512,1193.6487119538024,1124.5733042696988,M134_1,新馬路/永亨,11,22.193897,113.539178
M135_1,Macau Peninsula,114.76947846587314,114.76947846587314,114.76947846587314,M135_1,新馬路/大豐,3,22.194846,113.538261
M135_2,Macau Peninsula,1078.6821228584336,1078.6821228584336,1042.1786454286453,M135_2,新馬路/大豐,9,22.194835,113.538272
M136_1,Macau Peninsula,946.7829343858756,946.7829343858756,898.4107004107004,M136_1,粵通碼頭,8,22.195579,113.536286
M136_2,Macau Peninsula,353.1101143009038,353.1101143009038,335.98514300197286,M136_2,粵通碼頭,5,22.195477,113.536245
M137_1,Macau Peninsula,803.3014589169001,797.4681255835668,754.3735431235431,M137_1,內港客運碼頭,8,22.194395,113.53563
M137_2,Macau Peninsula,478.48186754765703,477.6036474071418,479.8163118331417,M137_2,內港客運碼頭,5,22.194738,113.535781
M138_1,Macau Peninsula,235.58823529411765,235.58823529411765,207.33333333333334,M138_1,司打口總站,1,22.193381,113.535114
M139_1,Macau Peninsula,258.9242063492063,252.92420634920632,217.72222222222223,M139_1,司打口,5,22.193541,113.535295
M139_2,Macau Peninsula,1082.1877117035012,1065.3877117035013,974.7212402380701,M139_2,司打口,11,22.193607,113.535332
M13_1,Macau Peninsula,84.97777777777777,84.97777777777777,84.97777777777777,M13_1,李寶椿街,1,22.212209,113.54595
M13_2,Macau Peninsula,121.5,121.5,111.81818181818181,M13_2,李寶椿街,1,22.212174,113.546592
M140_1,Macau Peninsula,470.59153565732515,464.7582023239918,443.4113980334911,M140_1,河邊新街/李道巷,5,22.192265,113.534528
M140_2,Macau Peninsula,783.6833874458874,766.0051673053722,748.8260759708128,M140_2,河邊新街/李道巷,9,22.192307,113.534553
M141_1,Macau Peninsula,61.6875,61.6875,53.65909090909091,M141_1,營地大街,1,22.195122,113.53996
M142_1,Macau Peninsula,837.4198752228165,820.6198752228164,796.1063790011159,M142_1,金碧文娛中心,9,22.195647,113.537343
M143_1,Macau Peninsula,447.34271284271284,446.4644927021976,437.45164484638167,M143_1,新馬路/爐石塘,4,22.19518,113.537916
M144_1,Macau Peninsula,235.04761904761904,235.04761904761904,223.85762385762385,M144_1,水坑尾/天神巷,2,22.193509,113.543364
