"id","name","fileName","size","datasetUrl","downloadUrl"
"bdd4e4c9-4a0f-47b5-ac84-1471c326cd5d","澳門區域旅遊數據 - 按時段及統計分區的旅客人數☯澳门区域旅游数据 - 按时段及统计分区的旅客人数☯Dados Turísticos Regionais de Macau - Número de visitantes por período de tempo e zonas estatísticas☯Macao District Tourism Data - Visitor Headcount by Hour and Statistical District","dst_visitor_01_stats.xlsx","145407","https://data.gov.mo/Detail?id=bdd4e4c9-4a0f-47b5-ac84-1471c326cd5d","https://api.data.gov.mo/document/download/bdd4e4c9-4a0f-47b5-ac84-1471c326cd5d?fileId=1714&isNeedFile=1&lang=TC"
"c803457f-8ced-48b6-8b00-eab0f50379d7","旅客詢問處☯旅客询问处☯Informações Turísticas☯Tourist Information","dst_counter.xlsx","12101","https://data.gov.mo/Detail?id=c803457f-8ced-48b6-8b00-eab0f50379d7","https://api.data.gov.mo/document/download/c803457f-8ced-48b6-8b00-eab0f50379d7?fileId=1531&isNeedFile=1&lang=TC"
"ca8e7bbb-4eef-4118-8893-90b3fc8d3cb1","公共巴士乘車人次累計☯公共巴士乘车人次累计☯Número total de passageiros dos autocarros públicos☯Número total de passageiros dos autocarros públicos","Number_of_public_bus_rides.xlsx","8189","https://data.gov.mo/Detail?id=ca8e7bbb-4eef-4118-8893-90b3fc8d3cb1","https://api.data.gov.mo/document/download/ca8e7bbb-4eef-4118-8893-90b3fc8d3cb1?fileId=2046&isNeedFile=1&lang=TC"
"d2e682a0-265a-4838-8dbe-6cae939de9f5","酒店及娛樂場穿梭巴士路線數量☯酒店及娱乐场穿梭巴士路线数量☯N.º de itinerários de autocarros shuttle dos hotéis e casinos☯N.º de itinerários de autocarros shuttle dos hotéis e casinos","Number_of_hotel_casino_shuttle_bus_routes.xlsx","8576","https://data.gov.mo/Detail?id=d2e682a0-265a-4838-8dbe-6cae939de9f5","https://api.data.gov.mo/document/download/d2e682a0-265a-4838-8dbe-6cae939de9f5?fileId=2049&isNeedFile=1&lang=TC"
"e413b592-e47d-4170-889a-e2a935b40395","澳門主要商場之無障礙旅遊設施列表☯澳门主要商场之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Centro comercial☯Barrier-Free Access Guide - Shopping Centres","dst_barrierfree_malls.xml","31","https://data.gov.mo/Detail?id=e413b592-e47d-4170-889a-e2a935b40395","https://api.data.gov.mo/document/download/e413b592-e47d-4170-889a-e2a935b40395?fileId=1932&isNeedFile=1&lang=TC"
"e5b23ebd-ce4f-4442-b519-7e0880a12adc","酒店及娛樂場穿梭巴士乘搭人次及發車班次☯酒店及娱乐场穿梭巴士乘搭人次及发车班次☯N.º de passageiros e frequência de partidas de autocarros shuttle dos hotéis e casinos☯N.º de passageiros e frequência de partidas de autocarros shuttle dos hotéis e casinos","Hotel_casino_shuttle_bus_ridership_and_departure_frequency.xlsx","9792","https://data.gov.mo/Detail?id=e5b23ebd-ce4f-4442-b519-7e0880a12adc","https://api.data.gov.mo/document/download/e5b23ebd-ce4f-4442-b519-7e0880a12adc?fileId=2051&isNeedFile=1&lang=TC"
"e694bc6a-eda2-48d1-bc1e-8b68a661988a","屬設計階段的酒店資料☯属设计阶段的酒店资料☯Informações sobre os empreendimentos hoteleiros em fase de projecto☯Hotel information at the design stage","屬設計階段的酒店資料.xlsx","10780","https://data.gov.mo/Detail?id=e694bc6a-eda2-48d1-bc1e-8b68a661988a","https://api.data.gov.mo/document/download/e694bc6a-eda2-48d1-bc1e-8b68a661988a?fileId=1108&isNeedFile=1&lang=TC"
"e7b2e84d-3333-42f0-b676-64ce95306f0d","巴士路線資料☯巴士路線資料☯Informações das carreiras☯Bus route enquiry","ExportShapeFile.zip","779945","https://data.gov.mo/Detail?id=e7b2e84d-3333-42f0-b676-64ce95306f0d","https://api.data.gov.mo/document/download/e7b2e84d-3333-42f0-b676-64ce95306f0d?fileId=722&isNeedFile=1&lang=TC"
"fa9de3e8-60a2-46a0-a990-a68c8f74d0e6","使用旅行社服務之出境旅遊旅客數量統計☯使用旅行社服务之出境旅游旅客数量统计☯Número de utilizadores dos serviços de agências de viagens para o exterior☯Statistics on the number of outbound travelers using travel agency services","dst_taOutboundService.xml","31","https://data.gov.mo/Detail?id=fa9de3e8-60a2-46a0-a990-a68c8f74d0e6","https://api.data.gov.mo/document/download/fa9de3e8-60a2-46a0-a990-a68c8f74d0e6?fileId=2000&isNeedFile=1&lang=TC"
"fcfef8dd-0262-4d08-8b7d-a53b08a6ae5d","交通燈組 ☯交通灯组 ☯Conjunto de semáforos☯Traffic light set","Traffic_light_set.xlsx","11380","https://data.gov.mo/Detail?id=fcfef8dd-0262-4d08-8b7d-a53b08a6ae5d","https://api.data.gov.mo/document/download/fcfef8dd-0262-4d08-8b7d-a53b08a6ae5d?fileId=998&isNeedFile=1&lang=TC"
